name,n_fichero,n_caracteres,texto,distancia,NER,Name,Partido
57,00000121.jpg.subtitulo.tif.txt,104,quizá por eso se decía que estaba como un tren bueno en extremadura decían como un autobús ,103,0,,Desconocido
59,00000123.jpg.subtitulo.tif.txt,105,era muy cansino lo del rollo tit star y se pasó al rollo bollo ahora es feliz con su segunda mujer ,118,0,,Desconocido
60,00000124.jpg.subtitulo.tif.txt,67,samantha fox nothing s gonna stop me now un dos tres 1987 ,101,0,,Desconocido
61,00000130.jpg.subtitulo.tif.txt,59,the tourists only want to be with you aplauso 1980 ,57,0,,Desconocido
62,00000131.jpg.subtitulo.tif.txt,80,qué bien hilado veniamos de samantha fox y ahora nos ponen a samanta hudson ,79,0,,Desconocido
63,00000132.jpg.subtitulo.tif.txt,68,obviamente todos sabéis que es annie lenox la fundadora de upyd ,78,0,,Desconocido
64,00000135.jpg.subtitulo.tif.txt,41,roxette dangerous rockopop 1990 ,68,0,,Desconocido
65,00000136.jpg.subtitulo.tif.txt,100, dangerous es un tema infantil que alerta del peligro de meter los dedos en el enchufe verdad ,90,0,,Desconocido
66,00000137.jpg.subtitulo.tif.txt,106,reconozcámoslo quién no tuvo ganas de enchufar todo aquellos días locos en que la luz fue casi gratis ,108,0,,Desconocido
68,00000143.jpg.subtitulo.tif.txt,53,eighth wonder cross my heart sábado noche 1988 ,105,0,,Desconocido
69,00000144.jpg.subtitulo.tif.txt,97,como veis la protagonista absoluta era patsy kensit la otra es la preferida de la infanta sofía ,97,0,,Desconocido
70,00000145.jpg.subtitulo.tif.txt,121,actriz infantil abuelo falsificador estrella de la tele kensit tuvo una vida más intensa que una peli de la coixet ,113,0,,Desconocido
72,00000148.jpg.subtitulo.tif.txt,58,britney spears you drive me crazy músico si 1999 ,112,0,,Desconocido
74,00000150.jpg.subtitulo.tif.txt,76,ella fue una pionera en muchos campos como el micrófono de teleoperadora ,80,0,,Desconocido
75,00000151.jpg.subtitulo.tif.txt,57,antes te llamaban en una actuación y no podías cogerlo ,72,0,,Desconocido
76,00000158.jpg.subtitulo.tif.txt,42,dova fiesta pasaporte a dublin 1970 ,59,0,,Desconocido
77,00000159.jpg.subtitulo.tif.txt,121,paquita tenía una de las mejores voces de su época pero se quedó a una vocal de distancia de convertirse en una diva ,109,0,,Desconocido
79,00000161.jpg.subtitulo.tif.txt,118,y así con la excusita de la canción te comes el álbum de fotos familiar creemos que ya va por la octava comunión ,124,0,,Desconocido
80,00000164.jpg.subtitulo.tif.txt,62,encarnita polo paco paco paco especial pop 1979 ,111,0,,Desconocido
81,00000165.jpg.subtitulo.tif.txt,107,a mediados de 2009 se hizo viral por un montaje en el que beyoncé parecía bailarla re encarnita polo ,97,0,,Desconocido
82,00000166.jpg.subtitulo.tif.txt,79,cuando vas a la academia de peluquería y pides que te corten solo las puntas ,106,0,,Desconocido
83,00000170.jpg.subtitulo.tif.txt,42,nada hace frío ya especial pop 1970 ,71,0,,Desconocido
84,00000171.jpg.subtitulo.tif.txt,110,en un par de décadas esta letra será ciencia ficción pero hoy es perfecta para hacer el cambio de armario ,90,0,,Desconocido
85,00000172.jpg.subtitulo.tif.txt,64,nada la cantante nihilista inventora del carpool karaoke ,95,0,,Desconocido
87,00000175.jpg.subtitulo.tif.txt,39,karina colores especial pop 1970 ,60,0,,Desconocido
88,00000176.jpg.subtitulo.tif.txt,100,hasta hace bien poco el concepto de mujer que trabaja en una portería era muy diferente a este ,92,0,,Desconocido
89,00000177.jpg.subtitulo.tif.txt,72,con tantos prejuicios encima querréis que no jueguen a la defensiva ,93,0,,Desconocido
90,00000178.jpg.subtitulo.tif.txt,99,karina pionera del fútbol femenino luciendo la indumentaria oficial del club deportivo laponia ,99,0,,Desconocido
92,00000184.jpg.subtitulo.tif.txt,56,camela lágrimas de amor campeonas del mundo 2023 ,88,0,,Desconocido
93,00000185.jpg.subtitulo.tif.txt,106,camela son el grupo favorito de jenni finalmente pudo celebrar el título haciendo algo que sí deseaba ,87,0,,Desconocido
94,00000186.jpg.subtitulo.tif.txt,106,la victoria de las campeonas empezó en un estadio de sidney y ha terminado en la historia del feminismo ,120,0,,Desconocido
95,00000190.jpg.subtitulo.tif.txt,42,maría jiménez se acabó aplauso 1978 ,98,0,,Desconocido
96,00000191.jpg.subtitulo.tif.txt,102,hseacabó una letra de maría jimenez que puso nombre a nuestro me too en sus últimos días de vida ,87,0,,Desconocido
97,00000192.jpg.subtitulo.tif.txt,109,el 7 de septiembre se acabó y se convirtió en eterna hoy gracias a mujeres como ella el mundo es otro ,117,0,,Desconocido
98,00000193.jpg.subtitulo.tif.txt,90,paradójicamente esta canción es del mismo autor que la minifalda de manolo escobar ,103,0,,Desconocido
99,00000198.jpg.subtitulo.tif.txt,47,amaral revolución con la primera al 2007 ,80,0,,Desconocido
100,00000205.jpg.subtitulo.tif.txt,69,las chillers mujer contra mujer cabaret de hierro y cromo 2018 ,66,0,,Desconocido
101,00000206.jpg.subtitulo.tif.txt,108,han lucido con orgullo la camiseta del feminismo aunque rocio su cantante es más bien de quitársela ,103,0,,Desconocido
