cod_postal,tipo,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
25714,jefe,25,109452072.03760736,1.3004404886381762,42.350245374256524,LLEIDA
15607,jefe,15,9472991.799307082,-8.202882859344196,43.39831785086188,"CORUNA, A"
45685,jefe,45,20457895.23554042,-4.6336474779499826,39.95599936796054,TOLEDO
14207,jefe,14,91461554.52784252,-5.337426783295419,38.3604532178758,CORDOBA
33160,jefe,33,87559106.73755553,-5.891961650601834,43.21395678027057,ASTURIAS
33011,jefe,33,7951945.177515227,-5.830066568358,43.37855913621255,ASTURIAS
24234,jefe,24,223751468.39352268,-5.633859590228828,42.27666107245189,LEON
36612,jefe,36,54354135.9608209,-8.706567493282423,42.65862782593532,PONTEVEDRA
20259,jefe,20,5275628.128689028,-2.1326325310859824,43.07230216826921,GIPUZKOA
11406,jefe,11,25714421.066188753,-6.103221932801377,36.6714375702623,CADIZ
19192,jefe,19,106759917.31773943,-2.9439077991028553,40.80195486636007,GUADALAJARA
38540,jefe,38,29588285.00651747,-16.409260944111296,28.37507461649909,SANTA CRUZ DE TENERIFE
18516,jefe,18,146541813.18195415,-3.2377498999043324,37.22760733615249,GRANADA
03599,jefe,03,33796723.175988495,-0.039462012272975605,38.63875582208478,ALICANTE/ALACANT
23620,jefe,23,100455941.61219005,-3.808427660787657,37.9622207725063,JAEN
34859,jefe,34,118812672.09282367,-4.585382097384547,42.80527173927236,PALENCIA
28011,jefe,28,30261023.523842305,-3.7537384864988517,40.41971794487386,MADRID
50709,jefe,50,210177790.48403412,0.018079133987283436,41.187961181259226,ZARAGOZA
05113,jefe,05,95396328.29723823,-4.777973032768985,40.38812453740349,AVILA
27132,jefe,27,21989389.60038179,-7.231313605862957,42.98190010101215,LUGO
25001,jefe,25,8529870.01569898,0.6425279467741923,41.60693733184874,LLEIDA
43372,jefe,43,24959684.92344705,0.7210375299353144,41.28250716941219,TARRAGONA
28931,jefe,28,878031.0004081279,-3.8631477304230657,40.325063004568456,MADRID
04879,jefe,04,40417935.46653232,-2.3489484280934425,37.392888901804064,ALMERIA
27127,jefe,27,57966276.4124099,-7.390031338672348,43.04933114249457,LUGO
23620,jefe,23,100455941.61219005,-3.808427660787657,37.9622207725063,JAEN
39450,jefe,39,148555567.68395725,-4.098043941475503,43.17359735494874,CANTABRIA
31228,jefe,31,117724474.31110086,-2.337715653699644,42.596580906273466,"NAVARRA"
20003,jefe,20,966378.4071290835,-1.98823526334023,43.323987641372156,GIPUZKOA
13350,jefe,13,310207480.99083835,-3.5786677741491295,38.78771399494334,CIUDAD REAL
48500,jefe,48,33478635.77363459,-3.087780754996485,43.310803909674746,BIZKAIA
33840,jefe,33,316473846.39949083,-6.212316879465645,43.07763608212352,ASTURIAS
50440,jefe,50,15479726.914979162,-1.0532854223626817,41.478755147874686,ZARAGOZA
19461,jefe,19,187883590.94183636,-2.3091979488231282,40.74653509599481,GUADALAJARA
20280,jefe,20,55955040.47549468,-1.8258146850641717,43.36150448031321,GIPUZKOA
40531,jefe,40,69706504.53087768,-3.684551474397684,41.38136832405361,SEGOVIA
28817,jefe,28,60355347.30700686,-3.2555244673972243,40.51278364108486,MADRID
08780,jefe,08,10559994.101508342,1.9926714447489724,41.42185897187033,BARCELONA
09587,jefe,09,128586840.3034412,-3.341187139717904,43.12023893378718,BURGOS
37183,jefe,37,149877076.32942736,-5.737766917898105,40.810543888333584,SALAMANCA
04859,jefe,04,115917359.16722779,-2.2185052287499776,37.268655340173765,ALMERIA
28015,jefe,28,2593011.9883471755,-3.7109129983437628,40.43230542882502,MADRID
31174,jefe,31,106414402.65428323,-1.8166461199588604,42.773815207826374,"NAVARRA"
26376,jefe,26,27757548.403761193,-2.555673368267616,42.35792297160271,"RIOJA, LA"
49135,indio,49,98597818.2042362,-5.5758384288911085,41.89165283500775,ZAMORA
08780,indio,08,10559994.101508342,1.9926714447489724,41.42185897187033,BARCELONA
09691,indio,09,242221971.99395636,-3.2065747084990406,42.0021293548418,BURGOS
04859,indio,04,115917359.16722779,-2.2185052287499776,37.268655340173765,ALMERIA
19400,indio,19,48469570.48476815,-2.8800215461778684,40.77024120592968,GUADALAJARA
14729,indio,14,171616529.4929953,-4.994708097465719,37.85502620098151,CORDOBA
46740,indio,46,43782179.575917974,-0.43206865564520525,39.10056894986975,VALENCIA/VALENCIA
20579,indio,20,13956048.69133997,-2.452472521445676,43.136255316503636,GIPUZKOA
05192,indio,05,42687933.97187077,-4.780611087497965,40.638012142787716,AVILA
41550,indio,41,21649606.98036996,-4.978852177806701,37.249759346928194,SEVILLA
36750,indio,36,22268853.45639503,-8.775838909734501,41.94844134660713,PONTEVEDRA
35330,indio,35,4946080.50625968,-15.539434761504188,28.063998181269422,"PALMAS, LAS"
