cod_postal,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
35560,35,187875455.47889984,-13.702956509502132,29.050105339512413,"PALMAS, LAS"
27330,27,6659413.1424713135,-7.395604655435759,42.561440984814205,LUGO
46680,46,69190772.71433394,-0.42924124749354187,39.21367598731179,VALENCIA/VALENCIA
49706,49,90229133.72947007,-5.726000723593664,41.30272180210697,ZAMORA
21120,21,20068648.152447056,-6.996727242910265,37.28791396911923,HUELVA
16623,16,132859997.66656393,-2.3538945602476753,39.67063314077645,CUENCA
10650,10,89269181.8945828,-6.201138934782922,40.169338887468854,CACERES
37111,37,101924596.23550844,-5.894055505287482,41.15133120829157,SALAMANCA
44124,44,46372862.93919261,-1.5517088008047728,40.319583687088546,TERUEL
33150,33,1571724.904987583,-6.148140009527916,43.561902683750844,ASTURIAS
41910,41,2337073.5768559203,-6.0401023679632155,37.38830820034162,SEVILLA
28597,28,103082652.70260864,-3.1591114703012266,40.111010350533,MADRID
03838,03,32614807.25756278,-0.5637522867897089,38.780888964794926,ALICANTE/ALACANT
29493,29,32152068.22313866,-5.2765765861748575,36.61451469447846,MALAGA
12609,12,48104361.53463547,-0.28152346854351523,39.83856185999094,CASTELLON/CASTELLO
44561,44,31207498.1188943,-0.34830174861720037,40.82765050646135,TERUEL
28320,28,106579878.67774552,-3.6856053872060475,40.24692296746725,MADRID
33393,33,31492141.382433087,-5.750554801660216,43.48390639469061,ASTURIAS
15126,15,75280822.64996357,-8.990024634943882,43.11263203685427,"CORUNA, A"
36877,36,41575034.73805332,-8.403048986281675,42.20057479217113,PONTEVEDRA
17485,17,11060950.389133155,3.0209822026594897,42.26226091272043,GIRONA
29012,29,1052412.1734388056,-4.413551674667182,36.72786248745939,MALAGA
25690,25,38378695.941970155,0.7349444396361885,41.681500722671515,LLEIDA
15638,15,22665309.009772714,-8.114155415534894,43.338454447900475,"CORUNA, A"
23477,23,50906291.62578437,-3.0432702588542035,37.98777582640432,JAEN
25568,25,52971219.33376729,1.1009183973030925,42.40777350973501,LLEIDA
47001,47,635567.3693550066,-4.72980526070059,41.65045055160741,VALLADOLID
28512,28,45181317.406573765,-3.2397312214013687,40.331327490530434,MADRID
46894,46,25130414.336443126,-0.46506185458870114,38.98591973924864,VALENCIA/VALENCIA
30868,30,114941831.35392709,-1.206084762820789,37.581201651903335,MURCIA
19343,19,45110910.97408196,-1.986890567502442,40.91640368454841,GUADALAJARA
24854,24,68356456.78546482,-5.312493960340643,42.951190066634645,LEON
27660,27,42869958.115906745,-7.093592469720426,42.95017453571384,LUGO
11648,11,193287813.55234814,-5.801651674565322,36.878548627318374,CADIZ
24495,24,189860315.35317373,-6.380742152266633,42.86111672650711,LEON
02249,02,162790700.02978247,-1.5467058374498865,39.16629953734817,ALBACETE
09642,09,58248565.08140847,-3.5183154433368222,42.132363243217696,BURGOS
31380,31,147807572.51700354,-1.6576240517149332,42.323906629879424,"NAVARRA"
25132,25,13623046.611732483,0.6440171455674788,41.69317018657098,LLEIDA
18330,18,12586525.474650893,-3.765377193318499,37.202089563191194,GRANADA
07630,07,187124312.58855978,3.0264081548493094,39.41992167701659,"BALEARS, ILLES"
34467,34,48537922.46058878,-4.265976594353097,42.24923982041867,PALENCIA
09141,09,384664304.76533467,-3.653088395096277,42.577340689863334,BURGOS
37720,37,39813487.96674687,-5.876619377645683,40.33584301193805,SALAMANCA
48010,48,604909.9079144993,-2.9401739333704326,43.25913851444941,BIZKAIA
26570,26,99749671.85924229,-2.043519438030494,42.20444958795661,"RIOJA, LA"
49252,49,66116784.05400298,-6.214420611013058,41.49028884133419,ZAMORA
15404,15,1905330.4456610233,-8.214368100230221,43.491362390103745,"CORUNA, A"
45685,45,20457895.23554042,-4.6336474779499826,39.95599936796054,TOLEDO
19413,19,243724998.37212878,-2.8005903630624673,40.76458250677849,GUADALAJARA
15996,15,31610379.4260875,-8.996695904719628,42.666886678897704,"CORUNA, A"
16720,16,71950629.8294398,-2.229296053382824,39.556095743590895,CUENCA
29533,29,23372105.037120894,-4.700996835105467,37.17715116750221,MALAGA
05279,05,24373788.023799904,-4.459803530828536,40.36646939979596,AVILA
27273,27,10596815.663277715,-7.3711488690723685,43.115214255627166,LUGO
37797,37,68509247.62994899,-5.700947676922722,41.06815219228461,SALAMANCA
25412,25,19737502.72931537,0.9598664779668592,41.49420226283618,LLEIDA
19429,19,87803551.8613219,-2.5624626488396176,40.7561185344517,GUADALAJARA
22558,22,93630209.13222416,0.49397880499144786,41.84863593347691,HUESCA
02210,02,2413238.5032625347,-1.4266995870809909,39.193794776454105,ALBACETE
27247,27,15037189.791734211,-7.251135071925621,43.1700375290439,LUGO
49600,49,81769317.86372279,-5.68001798555302,42.00454099697283,ZAMORA
47530,47,74451492.59333877,-5.286519648149178,41.47310350069526,VALLADOLID
15349,15,23310742.557003498,-7.911463247654068,43.63907642939095,"CORUNA, A"
13247,13,95554174.27248795,-3.243120332740772,38.84490333629099,CIUDAD REAL
10960,10,96208038.12343597,-6.810366113114738,39.6556984708221,CACERES
04271,04,274315995.67070663,-2.072902642799126,37.2118828854672,ALMERIA
45165,45,225160604.62622595,-4.4276206674692995,39.72489626908255,TOLEDO
25351,25,18963144.359067332,1.1710247873126396,41.69423279276858,LLEIDA
50100,50,100996586.37300485,-1.3600260995265019,41.47196859605932,ZARAGOZA
16330,16,102077676.95389658,-1.3720936750318056,39.887724357247954,CUENCA
43570,43,49435164.014855385,0.4812303694967257,40.72313735051813,TARRAGONA
33329,33,19446266.291286707,-5.268226844967284,43.45320690490787,ASTURIAS
23292,23,190614323.8256742,-2.7326266342531675,38.18582343144436,JAEN
30729,30,5946785.712085892,-0.8113319554627999,37.781700205798245,MURCIA
49017,49,297162.78381123766,-5.735948624996233,41.5031688565263,ZAMORA
02327,02,266242141.73473555,-2.075892504567651,38.82306864760848,ALBACETE
28290,28,31172943.711107127,-3.8983340820844394,40.54658013799232,MADRID
34305,34,337620009.1542019,-4.840857858274048,41.988511865055635,PALENCIA
09580,09,6046493.770627312,-3.282793231555877,43.09891891909062,BURGOS
15616,15,14461764.576783642,-8.111483564958755,43.37854804214345,"CORUNA, A"
08830,08,38193519.10474941,2.0419852832406344,41.33439664569947,BARCELONA
06240,06,408459926.0624534,-6.292059431438381,38.23133150257905,BADAJOZ
49150,49,34721084.76040799,-5.641789528953803,41.450890684228185,ZAMORA
26589,26,163336834.89346397,-2.212045625189648,42.19270755225232,"RIOJA, LA"
47237,47,21880610.04520774,-4.777926482057466,41.37849508284824,VALLADOLID
47319,47,63884251.48701687,-4.052566858444541,41.53018397819574,VALLADOLID
13200,13,787605857.7648665,-3.3762277945678805,39.0274543893224,CIUDAD REAL
33470,33,59054125.66246419,-5.864653838722539,43.49360122107367,ASTURIAS
